#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 09:56:21 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
28.159	459	28.185	493
28.210	479	28.236	476
28.260	497	28.286	463
28.312	506	28.337	456
28.362	512	28.387	451
28.413	513	28.439	458
28.463	507	28.489	464
28.514	496	28.540	477
28.565	481	28.590	496
28.616	461	28.641	514
28.666	439	28.691	536
28.717	415	28.743	559
28.767	391	28.793	582
28.818	369	28.844	602
28.869	349	28.894	619
28.920	331	28.945	634
28.970	317	28.996	645
29.021	309	29.047	648
29.071	308	29.097	647
29.123	309	29.148	641
29.173	318	29.198	631
29.224	331	29.250	615
29.274	349	29.300	595
29.325	369	29.351	576
29.376	390	29.401	553
29.427	415	29.452	533
29.477	439	29.502	511
29.528	462	29.554	491
29.578	479	29.604	476
29.629	496	29.655	464
29.680	503	29.705	458
29.731	507	29.756	456
29.781	507	29.807	463
29.832	503	29.858	469
29.882	491	29.908	480
29.934	476	29.959	499
29.984	457	30.009	519
30.035	436	30.061	539
30.085	412	30.111	562
30.136	390	30.162	583
30.187	368	30.212	604
30.238	348	30.263	620
30.288	330	30.313	634
30.339	319	30.365	642
30.389	312	30.415	647
30.440	309	30.466	644
30.491	315	30.516	637
30.542	322	30.567	626
30.592	335	30.618	608
30.643	352	30.669	592
30.693	373	30.719	574
30.745	395	30.770	549
30.795	417	30.820	527
30.846	441	30.872	507
30.896	461	30.922	490
30.947	478	30.973	476
30.998	494	31.023	466
31.049	501	31.074	460
31.099	506	31.125	460
31.150	506	31.176	465
31.200	498	31.226	473
31.251	488	31.277	487
31.302	472	31.327	504
31.353	451	31.378	523
31.404	433	31.429	546
31.454	410	31.480	567
31.505	387	31.530	585
31.556	367	31.581	605
31.607	347	31.631	621
31.657	332	31.683	633
31.708	321	31.733	640
31.758	315	31.784	643
31.810	314	31.834	641
31.860	317	31.885	634
31.911	324	31.936	621
31.961	340	31.987	607
32.012	356	32.037	588
32.062	376	32.088	568
32.114	397	32.138	546
32.164	420	32.189	527
32.215	441	32.240	506
32.265	461	32.291	488
32.316	478	32.341	476
32.367	491	32.392	468
32.418	498	32.442	463
32.468	502	32.494	462
32.519	498	32.544	467
32.569	491	32.595	477
32.621	482	32.645	490
32.671	467	32.696	508
32.722	447	32.747	529
32.772	429	32.798	548
32.823	408	32.848	569
32.873	386	32.899	589
32.925	366	32.949	608
32.975	348	33.000	621
33.026	334	33.051	632
33.076	323	33.102	639
33.127	318	33.152	642
33.178	317	33.203	637
33.229	322	33.253	629
33.279	331	33.305	618
33.330	343	33.355	602
33.380	362	33.406	585
33.432	379	33.456	564
33.482	401	33.507	544
33.533	421	33.558	522
33.583	443	33.609	502
33.634	461	33.659	488
33.685	476	33.710	477
33.736	489	33.760	468
33.786	496	33.811	462
33.837	499	33.862	465
33.887	497	33.913	470
33.938	490	33.963	481
33.989	479	34.014	495
