#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 09:56:21 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
55.278	414	55.304	517
55.328	412	55.354	504
55.379	412	55.405	495
55.430	412	55.455	489
55.481	412	55.506	484
55.532	410	55.557	483
55.582	409	55.608	486
55.633	408	55.658	493
55.684	406	55.709	504
55.735	407	55.759	516
55.785	407	55.811	530
55.836	406	55.861	544
55.886	405	55.912	559
55.938	407	55.962	573
55.988	406	56.013	587
56.039	410	56.064	597
56.089	410	56.115	609
56.140	412	56.165	612
56.190	413	56.216	616
56.242	415	56.266	613
56.292	417	56.317	608
56.343	418	56.368	603
56.393	420	56.419	591
56.444	420	56.469	579
56.495	420	56.520	566
56.546	422	56.570	551
56.596	421	56.622	536
56.647	421	56.672	523
56.697	419	56.723	510
56.749	417	56.773	500
56.799	416	56.824	493
56.850	413	56.875	489
56.900	411	56.926	492
56.951	408	56.976	489
57.001	405	57.027	494
57.053	404	57.077	503
57.103	402	57.128	514
57.154	401	57.179	527
57.204	400	57.230	540
57.255	400	57.280	554
57.306	401	57.331	568
57.357	402	57.381	581
57.407	405	57.433	593
57.458	405	57.483	601
57.508	409	57.534	607
57.560	411	57.584	612
57.610	414	57.635	610
57.661	417	57.686	607
57.711	421	57.737	601
57.762	423	57.787	590
