#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 11:16:27 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
24.561	470	24.587	428
24.611	472	24.637	459
24.662	471	24.688	493
24.713	470	24.738	528
24.764	472	24.789	561
24.814	470	24.840	593
24.865	470	24.891	619
24.915	468	24.941	639
24.967	471	24.992	651
25.017	471	25.042	658
25.068	469	25.094	656
25.118	471	25.144	647
25.169	471	25.195	631
25.220	471	25.245	608
25.271	470	25.296	581
25.321	472	25.346	550
25.372	472	25.398	515
25.422	470	25.448	482
25.473	470	25.499	449
25.524	470	25.549	419
25.575	473	25.600	394
25.625	470	25.651	373
25.676	470	25.702	359
25.726	470	25.752	355
25.778	470	25.803	355
25.828	471	25.853	365
25.879	470	25.905	381
25.929	471	25.955	405
25.980	470	26.006	433
26.031	470	26.056	464
26.082	469	26.107	497
26.132	473	26.158	530
26.183	471	26.209	563
26.233	472	26.259	593
26.284	471	26.310	618
26.335	469	26.360	637
26.386	471	26.411	648
26.436	471	26.462	657
26.487	471	26.513	653
26.537	471	26.563	643
26.589	471	26.614	626
26.639	471	26.664	603
26.690	469	26.716	575
26.740	470	26.766	546
26.791	471	26.817	512
26.842	473	26.867	480
26.893	471	26.918	447
26.943	470	26.969	419
26.994	470	27.020	393
27.044	470	27.070	376
27.095	470	27.121	363
27.146	471	27.171	359
27.197	470	27.222	359
27.247	470	27.273	373
27.298	470	27.324	387
27.348	471	27.374	410
27.400	472	27.425	437
27.450	471	27.475	468
27.501	468	27.527	501
27.551	471	27.577	534
27.602	467	27.628	565
27.653	469	27.678	592
27.704	472	27.729	617
27.754	470	27.780	634
27.805	470	27.831	646
27.855	471	27.881	646
27.906	470	27.932	647
27.957	470	27.982	635
28.008	470	28.033	620
28.058	472	28.084	600
28.109	471	28.135	572
28.159	472	28.185	542
28.211	470	28.236	510
28.261	470	28.286	478
28.312	471	28.338	449
28.362	472	28.388	419
28.413	471	28.439	397
28.464	471	28.489	377
28.515	469	28.540	367
28.565	471	28.591	363
28.616	471	28.642	366
28.666	470	28.692	374
28.718	470	28.743	392
28.768	470	28.793	416
28.819	470	28.844	442
28.869	470	28.895	473
28.920	471	28.946	505
28.970	471	28.996	536
29.022	468	29.047	566
29.072	470	29.097	593
29.123	471	29.149	616
29.173	470	29.199	634
29.224	470	29.250	643
29.275	471	29.300	646
29.326	470	29.351	640
29.376	470	29.402	635
29.427	471	29.453	616
29.477	471	29.503	596
29.529	470	29.554	567
29.579	470	29.604	538
29.630	470	29.655	505
29.680	470	29.706	475
29.731	470	29.757	444
29.781	472	29.807	419
29.833	471	29.858	397
29.883	470	29.908	380
29.934	469	29.960	370
29.984	471	30.010	362
30.035	469	30.061	370
30.086	470	30.111	382
30.137	469	30.162	397
30.187	470	30.213	419
30.238	471	30.264	448
30.288	471	30.314	477
30.340	470	30.365	508
30.390	471	30.415	538
30.441	471	30.466	568
30.491	470	30.517	592
30.542	471	30.568	616
30.592	470	30.618	629
30.644	471	30.669	638
30.694	471	30.719	643
30.745	471	30.771	638
30.795	471	30.821	625
30.846	471	30.872	612
30.897	472	30.922	592
30.948	470	30.973	562
30.998	471	31.024	533
31.049	471	31.075	504
31.099	471	31.125	473
31.151	470	31.176	443
31.201	471	31.226	418
31.252	471	31.278	398
31.302	470	31.328	382
31.353	472	31.379	374
31.403	469	31.429	371
31.455	471	31.480	375
31.505	470	31.530	385
31.556	471	31.582	404
31.606	470	31.632	424
31.657	471	31.683	450
31.708	471	31.733	480
31.759	471	31.784	511
31.809	470	31.835	541
31.860	472	31.886	568
31.910	468	31.936	593
31.962	470	31.987	613
32.012	471	32.037	629
32.063	471	32.089	637
32.113	471	32.139	639
32.164	470	32.190	635
32.214	471	32.240	623
32.266	471	32.291	606
32.316	471	32.341	585
32.367	471	32.393	555
32.417	471	32.443	526
32.468	471	32.494	500
32.519	471	32.544	471
32.570	472	32.595	445
32.620	470	32.646	419
32.671	470	32.697	400
32.721	470	32.747	385
32.773	469	32.798	377
32.823	466	32.848	374
32.874	470	32.900	380
32.924	470	32.950	392
32.975	471	33.001	409
33.025	471	33.051	431
33.077	472	33.102	457
33.127	471	33.152	487
33.178	471	33.204	514
33.228	470	33.254	543
33.279	471	33.305	570
33.331	470	33.355	595
33.381	471	33.406	614
33.432	469	33.457	624
33.482	469	33.508	636
33.533	473	33.558	635
33.584	471	33.609	630
33.635	470	33.659	620
33.685	471	33.711	603
33.736	472	33.761	579
33.786	471	33.812	556
33.838	471	33.862	528
33.888	471	33.913	500
33.939	470	33.963	470
33.989	469	34.015	444
34.040	471	34.065	419
34.090	472	34.116	400
34.142	472	34.166	387
34.192	471	34.217	379
34.243	468	34.268	379
34.293	471	34.319	384
34.344	469	34.369	394
34.395	470	34.420	411
34.446	470	34.470	438
34.496	471	34.522	460
34.547	470	34.572	492
34.597	471	34.623	519
34.649	470	34.673	545
34.699	470	34.724	570
34.750	471	34.774	593
34.800	469	34.826	611
34.851	470	34.876	624
34.901	469	34.927	631
34.953	472	34.977	631
35.003	470	35.028	625
35.054	471	35.079	613
35.104	470	35.130	595
35.155	470	35.180	575
35.206	470	35.231	551
35.257	470	35.281	524
35.307	470	35.333	496
35.358	470	35.383	466
35.408	471	35.434	443
35.460	470	35.484	420
35.510	470	35.535	403
35.561	471	35.585	389
35.611	468	35.637	383
35.662	471	35.687	382
35.712	471	35.738	388
35.764	468	35.788	398
35.814	470	35.839	418
35.865	470	35.890	440
35.915	472	35.941	466
35.966	470	35.991	491
36.017	470	36.042	520
36.068	470	36.092	545
36.118	470	36.144	569
36.169	472	36.194	594
36.219	472	36.245	610
36.271	469	36.295	621
36.321	468	36.346	628
36.372	471	36.396	628
36.422	471	36.448	623
36.473	471	36.499	609
36.523	470	36.549	592
36.575	470	36.600	571
36.625	470	36.650	546
36.676	471	36.702	519
36.726	470	36.752	495
36.777	469	36.803	467
36.828	471	36.853	441
36.879	470	36.904	421
36.929	472	36.955	404
36.980	471	37.006	393
37.030	470	37.056	385
37.082	470	37.107	387
37.132	468	37.157	393
37.183	469	37.209	407
37.233	469	37.259	423
37.284	470	37.310	444
37.334	471	37.360	470
37.386	470	37.411	495
37.436	470	37.461	523
37.487	469	37.513	548
37.537	470	37.563	571
37.588	470	37.614	594
37.639	470	37.664	609
37.690	470	37.715	619
37.740	468	37.766	623
37.791	470	37.817	624
37.841	470	37.867	617
37.893	469	37.918	605
37.943	469	37.968	587
37.994	470	38.020	567
38.044	470	38.070	544
38.095	471	38.121	518
38.145	470	38.171	494
38.197	470	38.222	465
38.247	470	38.272	440
38.298	470	38.324	421
38.348	470	38.374	406
38.399	469	38.425	395
38.450	471	38.475	388
38.501	472	38.526	391
38.551	471	38.577	398
38.602	470	38.628	411
38.652	465	38.678	428
38.704	470	38.729	448
38.754	470	38.779	473
38.805	470	38.831	498
38.855	470	38.881	523
38.906	470	38.932	548
38.956	470	38.982	568
39.008	470	39.033	591
39.058	470	39.083	608
39.109	470	39.135	618
39.159	470	39.185	622
39.210	470	39.236	620
39.261	472	39.286	613
39.312	468	39.337	600
39.362	470	39.388	583
39.413	470	39.439	563
39.463	471	39.489	539
39.515	471	39.540	513
39.565	471	39.590	488
39.616	470	39.642	463
39.666	470	39.692	441
39.717	470	39.743	424
39.767	468	39.793	406
39.819	470	39.844	397
39.869	471	39.894	394
39.920	470	39.946	396
39.970	470	39.996	402
40.021	468	40.047	414
40.072	470	40.097	432
40.123	471	40.148	452
40.174	472	40.199	477
40.224	470	40.250	501
40.275	470	40.300	525
40.326	471	40.351	550
40.377	470	40.401	574
40.427	470	40.453	592
40.478	471	40.503	605
40.528	469	40.554	615
40.580	471	40.604	618
40.630	473	40.655	616
40.681	470	40.705	609
40.731	471	40.757	597
40.782	471	40.807	579
40.832	471	40.858	559
40.884	470	40.908	535
40.934	471	40.959	513
40.985	470	41.010	486
41.035	470	41.061	459
41.086	470	41.111	442
41.137	470	41.162	422
41.188	472	41.212	409
41.238	470	41.264	399
41.289	470	41.314	395
41.339	470	41.365	399
41.391	471	41.415	405
41.441	470	41.466	419
41.492	471	41.516	437
41.542	469	41.568	457
41.593	469	41.618	480
41.643	470	41.669	505
41.695	471	41.719	529
41.745	470	41.770	552
41.796	470	41.821	574
41.846	470	41.872	591
41.897	471	41.922	604
41.948	471	41.973	613
