#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 09:56:21 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
31.910	330	31.936	478
31.961	354	31.987	508
32.011	382	32.037	535
32.063	410	32.088	560
32.113	439	32.138	588
32.164	465	32.190	606
32.214	489	32.240	621
32.265	508	32.291	630
32.316	521	32.341	633
32.367	532	32.392	630
32.417	533	32.443	620
32.468	528	32.494	606
32.518	516	32.544	585
32.570	502	32.595	562
32.620	479	32.645	536
32.671	455	32.696	508
32.721	427	32.747	479
32.772	398	32.798	452
32.822	369	32.848	432
32.874	342	32.899	411
32.924	318	32.949	396
32.975	299	33.001	389
33.025	287	33.051	385
33.076	281	33.102	389
33.127	279	33.152	399
33.178	284	33.203	414
33.228	295	33.254	433
33.279	311	33.305	455
33.329	333	33.355	483
33.381	357	33.406	510
33.431	385	33.456	537
33.482	414	33.508	563
33.532	443	33.558	585
33.583	469	33.609	601
33.633	490	33.659	615
33.685	510	33.710	623
33.735	525	33.760	625
33.786	532	33.812	622
33.836	534	33.862	612
33.887	527	33.913	597
33.938	515	33.963	578
33.989	498	34.014	555
34.039	476	34.065	530
34.090	451	34.116	507
34.140	423	34.166	480
34.192	394	34.217	455
34.242	367	34.267	434
34.293	340	34.319	416
34.343	315	34.369	403
34.394	297	34.420	395
34.444	283	34.470	393
34.496	279	34.521	397
34.546	276	34.571	406
34.597	284	34.623	420
34.647	297	34.673	440
34.698	314	34.724	462
34.749	336	34.774	489
34.800	362	34.825	512
34.850	391	34.876	535
34.901	419	34.927	559
34.951	446	34.977	579
35.003	472	35.028	596
35.053	497	35.078	609
35.104	512	35.130	616
35.154	527	35.180	617
35.205	531	35.231	614
35.255	532	35.281	605
35.307	525	35.332	591
35.357	512	35.382	573
35.408	494	35.434	556
35.458	471	35.484	530
35.509	446	35.535	504
35.560	418	35.585	480
35.611	389	35.636	458
35.661	359	35.687	438
35.712	335	35.738	421
35.762	314	35.788	410
35.814	297	35.839	403
35.864	283	35.889	400
35.915	278	35.941	404
35.965	278	35.991	413
36.016	288	36.042	429
36.066	301	36.092	445
36.118	319	36.143	462
36.169	341	36.193	487
36.219	369	36.245	511
36.270	396	36.295	535
36.320	424	36.346	557
36.372	451	36.396	576
36.422	476	36.447	592
36.473	498	36.498	602
36.523	516	36.549	610
36.574	526	36.599	613
36.625	532	36.650	607
36.676	531	36.700	598
36.726	522	36.752	582
36.777	509	36.802	568
36.827	490	36.853	549
36.879	467	36.903	528
36.929	440	36.954	504
36.980	411	37.004	482
37.030	383	37.056	461
37.081	357	37.106	442
37.131	330	37.157	427
37.183	312	37.207	415
37.233	295	37.258	410
37.284	284	37.309	407
37.334	280	37.360	408
37.385	284	37.410	418
37.436	291	37.461	430
37.487	306	37.511	449
37.537	324	37.563	468
37.588	347	37.613	488
37.638	373	37.664	512
37.690	401	37.714	532
37.740	429	37.765	553
37.791	458	37.815	571
37.841	482	37.867	587
37.892	500	37.917	597
37.942	518	37.968	603
37.994	528	38.018	605
38.044	532	38.069	602
38.095	527	38.120	595
38.145	519	38.171	580
38.196	504	38.221	562
38.247	484	38.272	547
38.298	460	38.322	527
38.348	435	38.374	505
38.399	409	38.424	484
38.449	379	38.475	464
38.501	350	38.525	447
38.551	328	38.576	431
38.602	305	38.626	419
38.652	294	38.678	414
38.703	285	38.728	412
38.753	282	38.779	418
38.805	284	38.829	424
38.855	295	38.880	433
38.906	310	38.931	450
38.956	331	38.982	469
39.007	354	39.032	489
39.058	381	39.083	511
39.109	408	39.134	530
39.159	437	39.185	550
39.210	463	39.236	567
39.260	485	39.286	583
39.312	504	39.337	591
39.362	518	39.387	596
39.413	526	39.439	601
39.463	529	39.489	598
39.514	524	39.540	590
39.564	513	39.590	579
39.616	498	39.641	565
39.666	478	39.691	547
39.717	455	39.743	527
39.767	428	39.793	506
39.818	401	39.844	487
39.869	372	39.894	466
39.920	347	39.945	451
39.970	325	39.996	437
40.021	308	40.047	426
40.071	294	40.097	418
40.123	286	40.148	414
40.173	285	40.198	420
40.224	289	40.250	428
