#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
40.223	375	40.248	497
40.274	393	40.300	497
40.324	409	40.350	498
40.375	427	40.401	499
40.426	444	40.451	502
40.477	459	40.502	505
40.527	471	40.553	508
40.578	480	40.604	513
40.628	485	40.654	519
40.680	488	40.705	523
40.730	484	40.755	528
40.781	478	40.807	532
40.831	467	40.857	536
40.882	456	40.908	538
40.932	439	40.958	538
40.984	422	41.009	540
41.034	406	41.059	539
41.085	388	41.111	536
41.135	373	41.161	534
41.186	359	41.212	528
41.237	348	41.262	525
41.288	340	41.313	518
41.338	337	41.364	513
41.389	336	41.415	508
41.439	342	41.465	503
41.491	348	41.516	497
41.541	358	41.566	494
41.592	372	41.618	491
41.642	387	41.668	490
41.693	404	41.719	490
41.743	420	41.769	492
41.795	436	41.820	495
41.845	451	41.870	499
41.896	463	41.922	504
41.946	474	41.972	510
41.997	479	42.023	515
42.048	482	42.073	523
42.099	481	42.124	527
42.149	476	42.175	534
42.200	468	42.226	539
42.250	457	42.276	543
42.302	443	42.327	545
42.352	428	42.377	548
42.403	411	42.429	546
42.453	396	42.479	544
42.504	381	42.530	540
42.554	368	42.580	535
42.606	356	42.631	529
42.656	347	42.681	523
42.707	343	42.733	515
42.757	340	42.783	508
42.808	344	42.834	501
42.859	349	42.884	495
42.910	359	42.935	491
42.960	371	42.986	486
43.011	384	43.037	484
43.061	399	43.087	484
43.113	414	43.138	484
43.163	429	43.188	487
43.214	444	43.240	491
43.264	455	43.290	498
43.315	466	43.341	504
43.366	473	43.391	512
43.417	477	43.442	520
43.467	476	43.492	528
43.518	473	43.544	535
43.568	465	43.594	543
43.619	457	43.645	547
43.670	445	43.695	552
43.721	432	43.746	553
43.771	416	43.797	553
43.822	402	43.848	551
43.872	387	43.898	547
43.924	375	43.949	542
43.974	363	43.999	535
44.025	356	44.051	527
44.075	350	44.101	519
44.126	348	44.152	510
44.177	349	44.202	503
44.228	353	44.253	495
44.278	360	44.303	488
44.329	370	44.355	482
44.379	382	44.405	479
44.430	394	44.456	478
44.481	407	44.506	478
44.532	422	44.557	480
44.583	436	44.608	485
44.633	449	44.659	492
44.684	457	44.709	499
44.735	466	44.760	508
44.786	469	44.810	518
44.836	471	44.862	526
44.887	468	44.912	535
44.937	463	44.963	542
44.989	456	45.013	550
45.039	447	45.064	555
45.090	435	45.114	558
45.140	420	45.166	558
45.191	408	45.216	557
45.241	395	45.267	554
45.293	383	45.317	548
45.343	372	45.368	541
45.394	364	45.419	534
45.444	358	45.470	523
45.495	355	45.520	514
45.546	354	45.571	504
45.597	357	45.621	494
45.647	363	45.673	487
45.698	371	45.723	480
45.748	381	45.774	474
45.800	392	45.824	473
45.850	404	45.875	472
45.901	416	45.926	475
45.951	430	45.977	479
46.002	441	46.027	486
46.052	449	46.078	493
46.104	457	46.128	503
46.154	461	46.179	513
46.205	462	46.230	524
46.255	462	46.281	534
46.306	459	46.331	543
46.357	453	46.382	550
46.408	445	46.432	557
46.458	435	46.484	561
46.509	424	46.534	564
46.559	412	46.585	562
46.611	402	46.635	559
46.661	390	46.686	553
46.712	380	46.737	547
46.762	372	46.788	538
46.813	367	46.838	528
46.863	363	46.889	517
46.915	362	46.939	507
46.965	363	46.990	496
47.016	367	47.041	486
47.066	373	47.092	479
47.117	381	47.142	473
47.168	391	47.193	470
47.219	402	47.243	468
47.269	413	47.295	469
47.320	422	47.345	474
47.370	432	47.396	480
47.422	441	47.446	488
47.472	448	47.497	498
47.523	453	47.548	509
47.573	456	47.599	520
47.624	455	47.650	531
47.674	453	47.700	540
47.726	449	47.751	551
47.776	443	47.801	558
47.827	435	47.853	563
47.877	425	47.903	566
47.928	417	47.954	566
47.979	406	48.004	565
48.030	397	48.055	559
48.080	387	48.106	553
48.131	381	48.157	543
48.181	375	48.207	534
48.233	371	48.258	522
48.283	369	48.308	510
48.334	370	48.360	497
48.384	373	48.410	487
48.435	377	48.461	478
48.486	384	48.511	471
48.537	390	48.562	468
48.587	400	48.612	464
48.638	409	48.664	465
48.688	417	48.714	468
48.739	425	48.765	475
48.790	433	48.815	482
48.841	440	48.866	493
48.891	444	48.917	503
48.942	447	48.968	516
48.992	448	49.018	526
49.044	447	49.069	539
49.094	444	49.119	548
49.145	440	49.171	559
49.195	432	49.221	564
49.246	427	49.272	569
49.297	417	49.322	569
49.348	411	49.373	569
49.398	401	49.423	563
49.449	394	49.475	558
49.499	388	49.525	549
49.550	383	49.576	538
49.601	380	49.626	527
49.652	378	49.677	513
49.702	378	49.728	502
49.753	379	49.779	490
49.803	383	49.829	481
49.855	388	49.880	472
49.905	392	49.930	467
49.956	399	49.982	463
